
=========================================================================================================
     [UAV] TRINITY: ROS 2 / GAZEBO SWARM COORDINATION FLIGHT ENGINE (MATHEMATICAL SIMULATION)
=========================================================================================================
Step  | Active UAVs | Formation  | Leader Pos (X,Y,Z)   | Formation Err | Mesh Status
---------------------------------------------------------------------------------------------------------
Step 00 | UAVs: 6/6 | V-SHAPE   | (10.5, -0.9, 0.0)    | Err: 13.98m    | TRANSITION | HEALTHY (All link)
Step 01 | UAVs: 6/6 | V-SHAPE   | (10.5, -0.9, 0.0)    | Err: 13.94m    | TRANSITION | HEALTHY (All link)
Step 02 | UAVs: 6/6 | V-SHAPE   | (10.5, -0.8, 0.0)    | Err: 13.88m    | TRANSITION | HEALTHY (All link)
Step 03 | UAVs: 6/6 | V-SHAPE   | (10.6, -0.8, 0.0)    | Err: 13.80m    | TRANSITION | HEALTHY (All link)
Step 04 | UAVs: 6/6 | V-SHAPE   | (10.7, -0.7, 0.0)    | Err: 13.70m    | TRANSITION | HEALTHY (All link)
Step 05 | UAVs: 6/6 | V-SHAPE   | (10.7, -0.6, 0.0)    | Err: 13.58m    | TRANSITION | HEALTHY (All link)
Step 06 | UAVs: 6/6 | V-SHAPE   | (10.8, -0.5, 0.1)    | Err: 13.45m    | TRANSITION | HEALTHY (All link)
Step 07 | UAVs: 6/6 | V-SHAPE   | (11.0, -0.4, 0.1)    | Err: 13.29m    | TRANSITION | HEALTHY (All link)
Step 08 | UAVs: 6/6 | V-SHAPE   | (11.1, -0.2, 0.1)    | Err: 13.12m    | TRANSITION | HEALTHY (All link)
Step 09 | UAVs: 6/6 | V-SHAPE   | (11.2, -0.1, 0.1)    | Err: 12.93m    | TRANSITION | HEALTHY (All link)
Step 10 | UAVs: 6/6 | V-SHAPE   | (11.4, 0.1, 0.1)     | Err: 12.72m    | TRANSITION | HEALTHY (All link)
Step 11 | UAVs: 6/6 | V-SHAPE   | (11.5, 0.2, 0.1)     | Err: 12.50m    | TRANSITION | HEALTHY (All link)
Step 12 | UAVs: 6/6 | V-SHAPE   | (11.7, 0.4, 0.2)     | Err: 12.28m    | TRANSITION | HEALTHY (All link)
Step 13 | UAVs: 6/6 | V-SHAPE   | (11.9, 0.6, 0.2)     | Err: 12.07m    | TRANSITION | HEALTHY (All link)
Step 14 | UAVs: 6/6 | V-SHAPE   | (12.1, 0.9, 0.2)     | Err: 11.93m    | TRANSITION | HEALTHY (All link)
Step 15 | UAVs: 6/6 | V-SHAPE   | (12.3, 1.1, 0.2)     | Err: 11.82m    | TRANSITION | HEALTHY (All link)
Step 16 | UAVs: 6/6 | V-SHAPE   | (12.5, 1.4, 0.3)     | Err: 11.72m    | TRANSITION | HEALTHY (All link)
Step 17 | UAVs: 6/6 | V-SHAPE   | (12.8, 1.6, 0.3)     | Err: 11.63m    | TRANSITION | HEALTHY (All link)
Step 18 | UAVs: 6/6 | V-SHAPE   | (13.0, 1.9, 0.3)     | Err: 11.55m    | TRANSITION | HEALTHY (All link)
Step 19 | UAVs: 6/6 | V-SHAPE   | (13.3, 2.2, 0.4)     | Err: 11.49m    | TRANSITION | HEALTHY (All link)

[WARN] CRITICAL EXCEPTION TRIGGERED ON UAV_3! Heartbeat lost.
[MESH] Dynamic Swarm Re-indexing initiated... Switching to CIRCLE formation!
---------------------------------------------------------------------------------------------------------
Step 20 | UAVs: 5/6 | CIRCLE    | (13.6, 2.5, 0.4)     | Err: 13.25m    | TRANSITION | HEALING Mesh active
Step 21 | UAVs: 5/6 | CIRCLE    | (13.9, 2.8, 0.5)     | Err: 13.54m    | TRANSITION | HEALING Mesh active
Step 22 | UAVs: 5/6 | CIRCLE    | (14.2, 3.2, 0.5)     | Err: 13.83m    | TRANSITION | HEALING Mesh active
Step 23 | UAVs: 5/6 | CIRCLE    | (14.5, 3.5, 0.5)     | Err: 14.13m    | TRANSITION | HEALING Mesh active
Step 24 | UAVs: 5/6 | CIRCLE    | (14.8, 3.9, 0.6)     | Err: 14.43m    | TRANSITION | HEALING Mesh active
Step 25 | UAVs: 5/6 | CIRCLE    | (15.2, 4.3, 0.6)     | Err: 14.72m    | TRANSITION | HEALING Mesh active
Step 26 | UAVs: 5/6 | CIRCLE    | (15.5, 4.7, 0.7)     | Err: 15.02m    | TRANSITION | HEALING Mesh active
Step 27 | UAVs: 5/6 | CIRCLE    | (15.9, 5.1, 0.7)     | Err: 15.32m    | TRANSITION | HEALING Mesh active
Step 28 | UAVs: 5/6 | CIRCLE    | (16.3, 5.5, 0.8)     | Err: 15.62m    | TRANSITION | HEALING Mesh active
Step 29 | UAVs: 5/6 | CIRCLE    | (16.7, 6.0, 0.9)     | Err: 15.92m    | TRANSITION | HEALING Mesh active
Step 30 | UAVs: 5/6 | CIRCLE    | (17.1, 6.4, 0.9)     | Err: 16.22m    | TRANSITION | HEALING Mesh active
Step 31 | UAVs: 5/6 | CIRCLE    | (17.5, 6.9, 1.0)     | Err: 16.52m    | TRANSITION | HEALING Mesh active
Step 32 | UAVs: 5/6 | CIRCLE    | (18.0, 7.4, 1.0)     | Err: 16.83m    | TRANSITION | HEALING Mesh active
Step 33 | UAVs: 5/6 | CIRCLE    | (18.4, 7.9, 1.1)     | Err: 17.13m    | TRANSITION | HEALING Mesh active
Step 34 | UAVs: 5/6 | CIRCLE    | (18.9, 8.4, 1.2)     | Err: 17.44m    | TRANSITION | HEALING Mesh active
Step 35 | UAVs: 5/6 | CIRCLE    | (19.4, 8.9, 1.2)     | Err: 17.74m    | TRANSITION | HEALING Mesh active
Step 36 | UAVs: 5/6 | CIRCLE    | (19.9, 9.5, 1.3)     | Err: 18.05m    | TRANSITION | HEALING Mesh active
Step 37 | UAVs: 5/6 | CIRCLE    | (20.4, 10.0, 1.4)    | Err: 18.36m    | TRANSITION | HEALING Mesh active
Step 38 | UAVs: 5/6 | CIRCLE    | (20.9, 10.6, 1.4)    | Err: 18.67m    | TRANSITION | HEALING Mesh active
Step 39 | UAVs: 5/6 | CIRCLE    | (21.4, 11.2, 1.5)    | Err: 18.98m    | TRANSITION | HEALING Mesh active
Step 40 | UAVs: 5/6 | CIRCLE    | (22.0, 11.8, 1.6)    | Err: 19.27m    | TRANSITION | HEALING Mesh active
Step 41 | UAVs: 5/6 | CIRCLE    | (22.5, 12.4, 1.6)    | Err: 19.56m    | TRANSITION | HEALING Mesh active
Step 42 | UAVs: 5/6 | CIRCLE    | (23.0, 13.0, 1.7)    | Err: 19.83m    | TRANSITION | HEALING Mesh active
Step 43 | UAVs: 5/6 | CIRCLE    | (23.6, 13.6, 1.8)    | Err: 20.09m    | TRANSITION | HEALING Mesh active
Step 44 | UAVs: 5/6 | CIRCLE    | (24.1, 14.2, 1.9)    | Err: 20.33m    | TRANSITION | HEALING Mesh active
Step 45 | UAVs: 5/6 | CIRCLE    | (24.6, 14.7, 1.9)    | Err: 20.57m    | TRANSITION | HEALING Mesh active
Step 46 | UAVs: 5/6 | CIRCLE    | (25.2, 15.3, 2.0)    | Err: 20.78m    | TRANSITION | HEALING Mesh active
Step 47 | UAVs: 5/6 | CIRCLE    | (25.7, 15.9, 2.1)    | Err: 20.99m    | TRANSITION | HEALING Mesh active
